CLASSES,INTENSITY-MEAN,RAWRED-MEAN,RAWBLUE-MEAN,RAWGREEN-MEAN,EXRED-MEAN,EXBLUE-MEAN,EXGREEN-MEAN,VALUE-MEAN,SATURATION-MEAN,HUE-MEAN
BRICKFACE,22.222221,21.777779,28.444445,16.444445,-1.3333334,18.666666,-17.333334,28.444445,0.42199442,-1.6233006
BRICKFACE,23.037037,21.666666,30.0,17.444445,-4.111111,20.88889,-16.777779,30.0,0.41874644,-1.7412539
BRICKFACE,21.037037,20.555555,26.666666,15.888889,-1.4444444,16.88889,-15.444445,26.666666,0.40479085,-1.634416
BRICKFACE,19.444445,19.555555,24.444445,14.333333,0.33333334,15.0,-15.333333,24.444445,0.41007325,-1.5070066
BRICKFACE,17.777779,19.222221,21.0,13.111111,4.3333335,9.666667,-14.0,21.0,0.37602362,-1.2765617
BRICKFACE,18.62963,19.444445,23.0,13.444445,2.4444444,13.111111,-15.555555,23.11111,0.41378537,-1.3703691
BRICKFACE,21.222221,20.777779,27.222221,15.666667,-1.3333334,18.0,-16.666666,27.222221,0.423121,-1.6203984
BRICKFACE,16.814816,17.333334,21.0,12.111111,1.5555556,12.555555,-14.111111,21.0,0.42233688,-1.4531144
BRICKFACE,17.962963,18.88889,21.88889,13.111111,2.7777777,11.777778,-14.555555,21.88889,0.39975148,-1.386867
BRICKFACE,17.222221,19.0,20.11111,12.555555,5.3333335,8.666667,-14.0,20.555555,0.39369074,-1.1766617
BRICKFACE,16.555555,15.666667,21.777779,12.222222,-2.6666667,15.666667,-13.0,21.88889,0.42553785,-1.5480099
BRICKFACE,19.333334,18.88889,24.777779,14.333333,-1.3333334,16.333334,-15.0,24.777779,0.41924807,-1.6233917
BRICKFACE,21.444445,20.444445,28.11111,15.777778,-3.0,20.0,-17.0,28.11111,0.43740398,-1.6598793
BRICKFACE,22.37037,20.333334,29.666666,17.11111,-6.111111,21.88889,-15.777778,29.666666,0.42265132,-1.8138857
BRICKFACE,24.333334,22.0,32.555557,18.444445,-7.0,24.666666,-17.666666,32.555557,0.4315472,-1.8112034
BRICKFACE,28.407408,25.333334,38.22222,21.666666,-9.222222,29.444445,-20.222221,38.22222,0.4305578,-1.8449929
BRICKFACE,22.333334,21.666666,28.444445,16.88889,-2.0,18.333334,-16.333334,28.444445,0.40368655,-1.6255869
BRICKFACE,22.333334,21.777779,28.555555,16.666668,-1.6666666,18.666666,-17.0,28.555555,0.41629943,-1.6368634
BRICKFACE,22.037037,21.333334,28.0,16.777779,-2.1111112,17.88889,-15.777778,28.0,0.3973624,-1.6195486
BRICKFACE,19.074074,19.222221,24.11111,13.888889,0.44444445,15.111111,-15.555555,24.11111,0.42150384,-1.5242527
BRICKFACE,22.74074,21.555555,29.0,17.666668,-3.5555556,18.777779,-15.222222,29.0,0.3903984,-1.707392
BRICKFACE,22.62963,21.222221,29.88889,16.777779,-4.2222223,21.777779,-17.555555,29.88889,0.43824613,-1.7335443
BRICKFACE,22.25926,22.555555,27.88889,16.333334,0.8888889,16.88889,-17.777779,27.88889,0.4148357,-1.5247713
BRICKFACE,17.925926,18.88889,21.444445,13.444445,2.8888888,10.555555,-13.444445,21.444445,0.36884832,-1.3450956
BRICKFACE,22.481482,22.0,28.777779,16.666668,-1.4444444,18.88889,-17.444445,28.777779,0.420716,-1.6304086
BRICKFACE,21.074074,21.666666,26.0,15.555555,1.7777778,14.777778,-16.555555,26.0,0.4010419,-1.4770186
BRICKFACE,23.074074,22.11111,29.777779,17.333334,-2.8888888,20.11111,-17.222221,29.777779,0.41776258,-1.6854404
BRICKFACE,20.37037,18.88889,26.777779,15.444445,-4.4444447,19.222221,-14.777778,26.777779,0.4192332,-1.7303063
BRICKFACE,21.851852,21.222221,28.0,16.333334,-1.8888888,18.444445,-16.555555,28.0,0.4162386,-1.6343956
BRICKFACE,19.851852,20.0,24.666666,14.888889,0.44444445,14.444445,-14.888889,24.666666,0.39496386,-1.5086578
BRICKFACE,20.333334,18.222221,27.88889,14.888889,-6.3333335,22.666666,-16.333334,27.88889,0.4663447,-1.8231477
BRICKFACE,17.25926,19.222221,20.0,12.555555,5.888889,8.222222,-14.111111,20.444445,0.38499743,-1.1312037
BRICKFACE,19.925926,19.777779,24.88889,15.111111,-0.44444445,14.888889,-14.444445,24.88889,0.39170122,-1.5814401
BRICKFACE,20.0,20.0,25.11111,14.888889,0.0,15.333333,-15.333333,25.11111,0.40815476,-1.5576197
BRICKFACE,18.592592,18.555555,23.555555,13.666667,-0.11111111,14.888889,-14.777778,23.555555,0.41791564,-1.5415015
BRICKFACE,23.851852,23.555555,30.0,18.0,-0.8888889,18.444445,-17.555555,30.0,0.39879107,-1.598867
BRICKFACE,26.222221,23.777779,35.444447,19.444445,-7.3333335,27.666666,-20.333334,35.444447,0.45092598,-1.8078662
BRICKFACE,20.62963,19.777779,26.777779,15.333333,-2.5555556,18.444445,-15.888889,26.777779,0.42697316,-1.6754649
BRICKFACE,22.62963,21.333334,30.0,16.555555,-3.8888888,22.11111,-18.222221,30.0,0.44663557,-1.7093887
