CLASSES,REGION-CONTINENTE,REGION-CENTROID-ROW,REGION-PIXEL-COUNT,SHORT-LINE-DENSITY-5,SHORT-LINE-DENSITY-2,VEDGE-MEAN,VEDGE-SD,HEDGE-MEAN,HEDGE-SD
BRICKFACE,142.0,100.0,9,0.0,0.0,0.6666667,0.26666614,1.388889,0.9074066
BRICKFACE,27.0,50.0,9,0.0,0.0,1.0555557,0.46296322,1.0000004,0.48888907
BRICKFACE,19.0,55.0,9,0.0,0.0,1.444445,2.8296297,1.277778,0.862964
BRICKFACE,34.0,83.0,9,0.0,0.0,1.4444447,0.34074098,2.444445,0.42963055
BRICKFACE,82.0,109.0,9,0.11111111,0.0,0.722223,0.24074084,1.3333336,0.8000008
BRICKFACE,99.0,107.0,9,0.11111111,0.0,1.5555557,2.0296292,3.3333333,2.2666647
BRICKFACE,35.0,62.0,9,0.0,0.0,0.7777786,0.5185192,1.2222227,1.051853
BRICKFACE,8.0,79.0,9,0.0,0.0,1.2777778,2.2851846,2.111111,0.51851857
BRICKFACE,23.0,85.0,9,0.0,0.0,1.4444445,1.0518525,1.777778,0.96296287
BRICKFACE,37.0,114.0,9,0.33333334,0.0,1.388889,2.0185165,3.8888884,3.7629619
BRICKFACE,1.0,115.0,9,0.11111111,0.0,1.8333331,2.3888893,2.2222226,4.9629602
BRICKFACE,14.0,60.0,9,0.0,0.0,0.55555505,0.78518444,1.0555553,0.06296298
BRICKFACE,69.0,85.0,9,0.11111111,0.0,3.1111114,8.207409,3.944444,9.440739
BRICKFACE,42.0,63.0,9,0.11111111,0.0,1.5000004,1.0999995,1.9444441,2.462962
BRICKFACE,78.0,69.0,9,0.0,0.0,1.4999996,1.1444438,1.6111107,1.4407405
BRICKFACE,137.0,66.0,9,0.0,0.0,2.611111,3.040741,2.9444444,3.8851848
BRICKFACE,88.0,89.0,9,0.0,0.0,0.7777774,0.38518468,3.6666667,4.0444417
BRICKFACE,88.0,71.0,9,0.11111111,0.11111111,1.4444447,0.785185,4.5,5.677779
BRICKFACE,88.0,115.0,9,0.0,0.0,1.666667,1.8222212,4.166667,4.2111125
BRICKFACE,13.0,73.0,9,0.0,0.0,1.3888887,0.72962976,2.611111,3.1296275
BRICKFACE,127.0,118.0,9,0.22222222,0.0,1.722222,1.5296288,3.444444,9.496296
BRICKFACE,29.0,66.0,9,0.0,0.0,2.5555553,2.1629624,2.1666667,5.144446
BRICKFACE,75.0,67.0,9,0.0,0.0,1.4444447,1.0074071,1.8333334,1.5444458
BRICKFACE,14.0,110.0,9,0.0,0.0,1.7222224,5.3518505,2.6666667,1.0222229
BRICKFACE,122.0,91.0,9,0.0,0.0,2.2222223,2.029629,2.1666663,1.2777776
BRICKFACE,95.0,100.0,9,0.11111111,0.0,0.7222223,0.1074075,1.2222217,1.140741
BRICKFACE,145.0,102.0,9,0.0,0.0,0.88888866,0.6074083,2.611111,1.4851857
BRICKFACE,26.0,93.0,9,0.0,0.0,2.4999993,0.21111093,2.1111114,9.1407385
BRICKFACE,140.0,103.0,9,0.11111111,0.0,2.166666,3.4111135,1.8333334,2.1666677
BRICKFACE,83.0,114.0,9,0.0,0.0,1.388889,1.129629,1.9444443,0.59629667
BRICKFACE,7.0,34.0,9,0.0,0.0,2.0,3.6888885,1.5,2.0333328
BRICKFACE,95.0,109.0,9,0.0,0.0,1.0,0.4888888,1.9444443,2.729629
BRICKFACE,100.0,111.0,9,0.0,0.0,1.6111107,0.9074074,1.6111107,0.81851804
BRICKFACE,38.0,106.0,9,0.0,0.0,2.2222223,2.5185175,2.1111114,3.1407404
BRICKFACE,23.0,86.0,9,0.0,0.0,0.88888913,0.6518528,1.7222222,1.3074087
BRICKFACE,96.0,84.0,9,0.0,0.0,1.5000004,1.2777773,1.6111107,2.2851882
BRICKFACE,146.0,72.0,9,0.0,0.0,0.944444,0.507407,1.6666664,0.5777763
BRICKFACE,40.0,73.0,9,0.11111111,0.0,1.3888893,1.0851853,1.6111116,2.5074077
BRICKFACE,39.0,60.0,9,0.11111111,0.0,1.5555559,1.1407412,2.444445,1.94074
BRICKFACE,9.0,92.0,9,0.0,0.0,1.3888887,2.4185164,2.4999998,0.87777764
BRICKFACE,97.0,77.0,9,0.0,0.11111111,1.222222,1.8518518,4.4444447,6.5629597
BRICKFACE,137.0,94.0,9,0.22222222,0.0,1.666667,0.7999998,3.666667,2.8888905
BRICKFACE,5.0,92.0,9,0.0,0.0,1.3333335,0.48888856,2.1666667,1.2777781
BRICKFACE,69.0,92.0,9,0.11111111,0.0,1.888889,4.518517,1.9999999,1.0222219
BRICKFACE,85.0,56.0,9,0.0,0.0,1.3333334,0.40000024,1.2777773,1.8407404
BRICKFACE,41.0,61.0,9,0.0,0.0,2.0555553,1.5740743,1.5555553,1.940741
BRICKFACE,95.0,57.0,9,0.0,0.0,1.8333327,3.4111106,2.1111107,1.7185175
BRICKFACE,121.0,113.0,9,0.0,0.0,1.722222,1.5296303,2.944444,1.5296295
BRICKFACE,85.0,101.0,9,0.0,0.0,1.3333334,1.2888881,1.2777777,1.2185181
BRICKFACE,131.0,86.0,9,0.0,0.0,1.3888893,1.2185189,1.6666673,2.5777786
BRICKFACE,122.0,106.0,9,0.11111111,0.0,1.611111,0.59629595,1.6111113,2.7296302
BRICKFACE,67.0,61.0,9,0.0,0.0,1.0555557,0.50740737,0.8333333,0.38888904
BRICKFACE,65.0,54.0,9,0.0,0.0,1.777778,1.6740733,2.722222,4.3296285
BRICKFACE,86.0,74.0,9,0.11111111,0.0,1.3333336,1.5555557,0.6666673,0.13333334
BRICKFACE,141.0,89.0,9,0.0,0.0,1.277778,1.4851854,1.6666666,3.6888885
BRICKFACE,69.0,74.0,9,0.22222222,0.0,3.8888886,9.940739,2.166667,2.4777777
BRICKFACE,17.0,64.0,9,0.0,0.0,1.4444443,1.3629619,1.6666664,1.4222221
BRICKFACE,5.0,101.0,9,0.0,0.0,2.3333333,2.3111115,1.7777777,0.60740685
BRICKFACE,78.0,108.0,9,0.0,0.0,0.8333335,0.43333328,1.6111107,1.1740738
BRICKFACE,127.0,121.0,9,0.0,0.0,1.6666664,0.8000008,2.0000002,2.4444427
BRICKFACE,71.0,90.0,9,0.0,0.0,2.777778,2.0740724,5.111111,3.2740743
BRICKFACE,24.0,58.0,9,0.0,0.0,0.8888893,0.1629633,1.3888887,2.285186
